Datetime,Values
01/01/2000 0:00,923.12384
01/02/2000 0:00,880.111511
01/03/2000 0:00,824.700867
01/04/2000 0:00,1030.01013
01/05/2000 0:00,1280.07666
01/06/2000 0:00,1385.81274
01/07/2000 0:00,1432.83813
01/08/2000 0:00,1482.39648
01/09/2000 0:00,1462.29626
01/10/2000 0:00,1326.21716
01/11/2000 0:00,1006.09375
01/12/2000 0:00,862.513123
01/01/2001 0:00,873.785461
01/02/2001 0:00,781.82782
01/03/2001 0:00,808.884033
01/04/2001 0:00,906.940063
01/05/2001 0:00,1146.45996
01/06/2001 0:00,1328.42053
01/07/2001 0:00,1356.07178
01/08/2001 0:00,1516.14746
01/09/2001 0:00,1545.6228
01/10/2001 0:00,1340.07727
01/11/2001 0:00,1088.63928
01/12/2001 0:00,927.607849
01/01/2002 0:00,893.365784
01/02/2002 0:00,935.176941
01/03/2002 0:00,948.974243
01/04/2002 0:00,976.234985
01/05/2002 0:00,1226.68359
01/06/2002 0:00,1328.7699
01/07/2002 0:00,1434.24854
01/08/2002 0:00,1493.00549
01/09/2002 0:00,1385.14929
01/10/2002 0:00,1251.65894
01/11/2002 0:00,1080.17212
01/12/2002 0:00,920.40332
01/01/2003 0:00,973.484192
01/02/2003 0:00,928.952515
01/03/2003 0:00,947.038452
01/04/2003 0:00,1071.672
01/05/2003 0:00,1204.84265
01/06/2003 0:00,1336.49329
01/07/2003 0:00,1341.61438
01/08/2003 0:00,1545.86145
01/09/2003 0:00,1534.14478
01/10/2003 0:00,1404.55042
01/11/2003 0:00,1177.00415
01/12/2003 0:00,961.067871
01/01/2004 0:00,885.088257
01/02/2004 0:00,921.000061
01/03/2004 0:00,846.629395
01/04/2004 0:00,902.061768
01/05/2004 0:00,1315.33801
01/06/2004 0:00,1397.78162
01/07/2004 0:00,1446.93164
01/08/2004 0:00,1519.02759
01/09/2004 0:00,1481.33813
01/10/2004 0:00,1249.01196
01/11/2004 0:00,1065.97058
01/12/2004 0:00,818.605164
01/01/2005 0:00,850.057678
01/02/2005 0:00,946.765015
01/03/2005 0:00,932.92688
01/04/2005 0:00,1111.40039
01/05/2005 0:00,1244.10046
01/06/2005 0:00,1392.85413
01/07/2005 0:00,1429.26831
01/08/2005 0:00,1556.44165
01/09/2005 0:00,1566.66211
01/10/2005 0:00,1464.72668
01/11/2005 0:00,1183.33276
01/12/2005 0:00,988.802795
01/01/2006 0:00,916.395691
01/02/2006 0:00,891.419189
01/03/2006 0:00,814.116272
01/04/2006 0:00,953.019592
01/05/2006 0:00,1208.19128
01/06/2006 0:00,1318.68823
01/07/2006 0:00,1418.29578
01/08/2006 0:00,1446.12048
01/09/2006 0:00,1479.74524
01/10/2006 0:00,1312.89587
01/11/2006 0:00,1010.59424
01/12/2006 0:00,873.71814
01/01/2007 0:00,836.57196
01/02/2007 0:00,874.027161
01/03/2007 0:00,917.346191
01/04/2007 0:00,998.991394
01/05/2007 0:00,1150.51526
01/06/2007 0:00,1276.67578
01/07/2007 0:00,1340.11926
01/08/2007 0:00,1434.65723
01/09/2007 0:00,1406.27454
01/10/2007 0:00,1247.95081
01/11/2007 0:00,1035.85901
01/12/2007 0:00,803.700195
01/01/2008 0:00,732.659912
01/02/2008 0:00,838.91925
01/03/2008 0:00,819.561401
01/04/2008 0:00,882.146851
01/05/2008 0:00,1086.44885
01/06/2008 0:00,1243.67798
01/07/2008 0:00,1344.37988
01/08/2008 0:00,1495.69873
01/09/2008 0:00,1477.8053
01/10/2008 0:00,1358.52478
01/11/2008 0:00,1011.11078
01/12/2008 0:00,865.947815
01/01/2009 0:00,838.413574
01/02/2009 0:00,826.934082
01/03/2009 0:00,839.824097
01/04/2009 0:00,984.973267
01/05/2009 0:00,1106.50903
01/06/2009 0:00,1299.45764
01/07/2009 0:00,1366.30981
01/08/2009 0:00,1474.21704
01/09/2009 0:00,1482.42273
01/10/2009 0:00,1256.49231
01/11/2009 0:00,970.051941
01/12/2009 0:00,868.264221
01/01/2010 0:00,844.124146
01/02/2010 0:00,757.622192
01/03/2010 0:00,801.493652
01/04/2010 0:00,844.223877
01/05/2010 0:00,1080.98584
01/06/2010 0:00,1184.59143
01/07/2010 0:00,1378.0415
01/08/2010 0:00,1412.40808
01/09/2010 0:00,1459.70471
01/10/2010 0:00,1477.81909
01/11/2010 0:00,1101.04211
01/12/2010 0:00,875.844666
01/01/2011 0:00,856.628418
01/02/2011 0:00,928.3349
01/03/2011 0:00,840.204102
01/04/2011 0:00,916.508545
01/05/2011 0:00,1181.50867
01/06/2011 0:00,1312.44434
01/07/2011 0:00,1370.97437
01/08/2011 0:00,1461.49402
01/09/2011 0:00,1445.30127
01/10/2011 0:00,1225.0061
01/11/2011 0:00,1025.70361
01/12/2011 0:00,873.124817
01/01/2012 0:00,817.659668
01/02/2012 0:00,831.032166
01/03/2012 0:00,832.914795
01/04/2012 0:00,973.117554
01/05/2012 0:00,1083.69177
01/06/2012 0:00,1208.01001
01/07/2012 0:00,1391.96008
01/08/2012 0:00,1465.80786
01/09/2012 0:00,1464.77551
01/10/2012 0:00,1320.32568
01/11/2012 0:00,1055.34192
01/12/2012 0:00,828.440186
01/01/2013 0:00,749.004578
01/02/2013 0:00,829.150879
01/03/2013 0:00,864.378052
01/04/2013 0:00,956.829041
01/05/2013 0:00,1095.32605
01/06/2013 0:00,1193.44861
01/07/2013 0:00,1418.03674
01/08/2013 0:00,1558.10632
01/09/2013 0:00,1506.30566
01/10/2013 0:00,1339.75452
01/11/2013 0:00,1085.37659
01/12/2013 0:00,883.292175
01/01/2014 0:00,793.224426
01/02/2014 0:00,748.246887
01/03/2014 0:00,770.236755
01/04/2014 0:00,851.743347
01/05/2014 0:00,1077.80896
01/06/2014 0:00,1262.14868
01/07/2014 0:00,1345.51892
01/08/2014 0:00,1485.42004
01/09/2014 0:00,1364.85693
01/10/2014 0:00,1340.11401
01/11/2014 0:00,1114.7583
01/12/2014 0:00,883.003296
01/01/2015 0:00,825.820374
01/02/2015 0:00,890.524963
01/03/2015 0:00,917.863953
01/04/2015 0:00,889.807373
01/05/2015 0:00,1078.06335
01/06/2015 0:00,1281.43884
01/07/2015 0:00,1405.00989
01/08/2015 0:00,1465.72021
01/09/2015 0:00,1440.40247
01/10/2015 0:00,1287.62903
01/11/2015 0:00,1098.21326
01/12/2015 0:00,876.691772
01/01/2016 0:00,838.2771
01/02/2016 0:00,867.743896
01/03/2016 0:00,813.799561
01/04/2016 0:00,888.53717
01/05/2016 0:00,1154.72974
01/06/2016 0:00,1252.45947
01/07/2016 0:00,1424.60706
01/08/2016 0:00,1442.54114
01/09/2016 0:00,1521.9834
01/10/2016 0:00,1405.2251
01/11/2016 0:00,1138.72375
01/12/2016 0:00,959.025391
01/01/2017 0:00,836.605591
01/02/2017 0:00,813.652954
01/03/2017 0:00,829.70697
01/04/2017 0:00,870.587219
01/05/2017 0:00,1074.33545
01/06/2017 0:00,1309.78381
01/07/2017 0:00,1374.35083
01/08/2017 0:00,1439.97058
01/09/2017 0:00,1437.98303
01/10/2017 0:00,1292.74963
01/11/2017 0:00,1015.55145
01/12/2017 0:00,842.674988
01/01/2018 0:00,926.447632
01/02/2018 0:00,759.416565
01/03/2018 0:00,727.746887
01/04/2018 0:00,852.210999
01/05/2018 0:00,990.244202
01/06/2018 0:00,1193.23267
01/07/2018 0:00,1256.60413
01/08/2018 0:00,1388.91138
01/09/2018 0:00,1395.54248
01/10/2018 0:00,1245.92468
01/11/2018 0:00,1092.02173
01/12/2018 0:00,886.284363
01/01/2019 0:00,791.577393
01/02/2019 0:00,836.737976
01/03/2019 0:00,931.339417
01/04/2019 0:00,884.200745
01/05/2019 0:00,1023.75397
01/06/2019 0:00,1141.33948
01/07/2019 0:00,1262.94617
01/08/2019 0:00,1417.86096
01/09/2019 0:00,1394.18994
01/10/2019 0:00,1201.81128
01/11/2019 0:00,970.523926
01/12/2019 0:00,873.668152
01/01/2020 0:00,780.173889
01/02/2020 0:00,769.061279
01/03/2020 0:00,793.67334
01/04/2020 0:00,886.793335
01/05/2020 0:00,1001.89954
01/06/2020 0:00,1232.20178
01/07/2020 0:00,1226.25281
01/08/2020 0:00,1408.9375
01/09/2020 0:00,1437.23193
01/10/2020 0:00,1286.37256
01/11/2020 0:00,1031.37769
01/12/2020 0:00,789.694824
01/01/2021 0:00,742.328857
01/02/2021 0:00,714.997742
01/03/2021 0:00,801.421997
01/04/2021 0:00,789.816162
01/05/2021 0:00,970.583435
01/06/2021 0:00,1117.39905
01/07/2021 0:00,1179.91418
01/08/2021 0:00,1359.36108
01/09/2021 0:00,1389.09668
01/10/2021 0:00,1228.78772
01/11/2021 0:00,1136.89844
01/12/2021 0:00,940.874573
01/01/2022 0:00,752.857971
01/02/2022 0:00,781.726868
01/03/2022 0:00,808.266602
01/04/2022 0:00,822.00531
01/05/2022 0:00,1017.38794
01/06/2022 0:00,1123.47522
01/07/2022 0:00,1307.979
01/08/2022 0:00,1374.08142
01/09/2022 0:00,1352.65747
01/10/2022 0:00,1373.25049
01/11/2022 0:00,969.328613
01/12/2022 0:00,922.948303
01/01/2023 0:00,822.527039
01/02/2023 0:00,840.507812
01/03/2023 0:00,847.398254
01/04/2023 0:00,892.007202
01/05/2023 0:00,1125.56152
01/06/2023 0:00,1322.03137
01/07/2023 0:00,1329.59692
01/08/2023 0:00,1433.68018
01/09/2023 0:00,1467.84473
01/10/2023 0:00,1281.88574
01/11/2023 0:00,1037.47522
01/12/2023 0:00,903.476135
01/01/2024 0:00,825.001587
01/02/2024 0:00,992.792664
01/03/2024 0:00,908.406372
01/04/2024 0:00,876.902405
01/05/2024 0:00,1173.65466
01/06/2024 0:00,1280.29883
01/07/2024 0:00,1392.50562
01/08/2024 0:00,1431.45667
01/09/2024 0:00,1557.40625
01/10/2024 0:00,1300.06592
01/11/2024 0:00,1068.36279
01/12/2024 0:00,1045.08118
01/01/2025 0:00,809.855652
01/02/2025 0:00,841.034729
01/03/2025 0:00,852.786072
01/04/2025 0:00,852.644836
01/05/2025 0:00,998.167114
01/06/2025 0:00,1255.198
01/07/2025 0:00,1357.14771
01/08/2025 0:00,1472.69885
