Datetime,Values
01/01/2000 0:00,4.14263296
01/02/2000 0:00,4.18433714
01/03/2000 0:00,4.08819294
01/04/2000 0:00,4.94819307
01/05/2000 0:00,5.20963049
01/06/2000 0:00,5.65376568
01/07/2000 0:00,5.85702229
01/08/2000 0:00,5.83366156
01/09/2000 0:00,5.7342844
01/10/2000 0:00,5.54095984
01/11/2000 0:00,4.39175797
01/12/2000 0:00,3.91518474
01/01/2001 0:00,4.16487503
01/02/2001 0:00,3.92912483
01/03/2001 0:00,3.80878282
01/04/2001 0:00,4.7957058
01/05/2001 0:00,5.25625849
01/06/2001 0:00,5.25936651
01/07/2001 0:00,5.63455677
01/08/2001 0:00,5.38800955
01/09/2001 0:00,5.4472661
01/10/2001 0:00,5.26469231
01/11/2001 0:00,4.68059492
01/12/2001 0:00,4.13997364
01/01/2002 0:00,3.95690131
01/02/2002 0:00,4.09182262
01/03/2002 0:00,4.15765238
01/04/2002 0:00,4.83889771
01/05/2002 0:00,4.95138454
01/06/2002 0:00,5.32504892
01/07/2002 0:00,5.12823725
01/08/2002 0:00,5.79951334
01/09/2002 0:00,5.78996086
01/10/2002 0:00,5.45162964
01/11/2002 0:00,4.76723146
01/12/2002 0:00,4.11881113
01/01/2003 0:00,3.91948724
01/02/2003 0:00,3.92012167
01/03/2003 0:00,4.00505972
01/04/2003 0:00,4.70441294
01/05/2003 0:00,4.99544191
01/06/2003 0:00,5.28118706
01/07/2003 0:00,5.90718508
01/08/2003 0:00,5.48370314
01/09/2003 0:00,5.68998528
01/10/2003 0:00,5.55817842
01/11/2003 0:00,4.89744711
01/12/2003 0:00,4.16423321
01/01/2004 0:00,4.10324001
01/02/2004 0:00,4.01681471
01/03/2004 0:00,4.22429657
01/04/2004 0:00,4.72186613
01/05/2004 0:00,5.3317647
01/06/2004 0:00,5.61751747
01/07/2004 0:00,5.51033926
01/08/2004 0:00,5.49144506
01/09/2004 0:00,5.50603294
01/10/2004 0:00,5.5065856
01/11/2004 0:00,4.6538558
01/12/2004 0:00,4.02030373
01/01/2005 0:00,3.99823093
01/02/2005 0:00,3.98161793
01/03/2005 0:00,4.0345397
01/04/2005 0:00,4.73526049
01/05/2005 0:00,4.95490694
01/06/2005 0:00,5.23382902
01/07/2005 0:00,5.93439627
01/08/2005 0:00,5.5436039
01/09/2005 0:00,5.74477482
01/10/2005 0:00,5.53815699
01/11/2005 0:00,4.74920845
01/12/2005 0:00,4.1468749
01/01/2006 0:00,3.90314794
01/02/2006 0:00,3.69824719
01/03/2006 0:00,4.00889158
01/04/2006 0:00,4.74086857
01/05/2006 0:00,4.70948172
01/06/2006 0:00,5.47564411
01/07/2006 0:00,5.49224806
01/08/2006 0:00,5.45076036
01/09/2006 0:00,5.96202755
01/10/2006 0:00,5.68281841
01/11/2006 0:00,4.436059
01/12/2006 0:00,3.81968617
01/01/2007 0:00,4.03763247
01/02/2007 0:00,4.01365137
01/03/2007 0:00,4.08478022
01/04/2007 0:00,4.57001257
01/05/2007 0:00,5.21330881
01/06/2007 0:00,5.12527466
01/07/2007 0:00,5.57174015
01/08/2007 0:00,5.55045652
01/09/2007 0:00,5.58417273
01/10/2007 0:00,5.34880781
01/11/2007 0:00,4.56022882
01/12/2007 0:00,4.06226301
01/01/2008 0:00,3.87833595
01/02/2008 0:00,3.70930147
01/03/2008 0:00,4.0342226
01/04/2008 0:00,4.85789299
01/05/2008 0:00,4.80232
01/06/2008 0:00,5.31424665
01/07/2008 0:00,5.37267208
01/08/2008 0:00,5.39437008
01/09/2008 0:00,5.5016346
01/10/2008 0:00,5.35342979
01/11/2008 0:00,4.22511911
01/12/2008 0:00,4.08691406
01/01/2009 0:00,3.63835096
01/02/2009 0:00,3.95806026
01/03/2009 0:00,3.99545217
01/04/2009 0:00,4.96027517
01/05/2009 0:00,4.63043404
01/06/2009 0:00,5.05865526
01/07/2009 0:00,5.86963654
01/08/2009 0:00,5.66373634
01/09/2009 0:00,5.54859304
01/10/2009 0:00,5.4453702
01/11/2009 0:00,4.32416868
01/12/2009 0:00,3.78090072
01/01/2010 0:00,3.68395281
01/02/2010 0:00,4.06712532
01/03/2010 0:00,3.88623786
01/04/2010 0:00,4.58577824
01/05/2010 0:00,4.89877033
01/06/2010 0:00,5.38050842
01/07/2010 0:00,5.51962185
01/08/2010 0:00,5.8674922
01/09/2010 0:00,5.77798128
01/10/2010 0:00,5.37854958
01/11/2010 0:00,4.56808615
01/12/2010 0:00,3.87913394
01/01/2011 0:00,3.9064517
01/02/2011 0:00,3.90261006
01/03/2011 0:00,3.66321039
01/04/2011 0:00,4.474967
01/05/2011 0:00,4.62583733
01/06/2011 0:00,4.79505777
01/07/2011 0:00,5.39799213
01/08/2011 0:00,5.49197912
01/09/2011 0:00,5.51199055
01/10/2011 0:00,5.06118345
01/11/2011 0:00,4.2905221
01/12/2011 0:00,3.76798081
01/01/2012 0:00,4.14093924
01/02/2012 0:00,3.58759212
01/03/2012 0:00,3.73750401
01/04/2012 0:00,4.71887732
01/05/2012 0:00,4.86032915
01/06/2012 0:00,5.24750805
01/07/2012 0:00,5.12425375
01/08/2012 0:00,5.12216187
01/09/2012 0:00,5.40717888
01/10/2012 0:00,5.23478794
01/11/2012 0:00,4.41989088
01/12/2012 0:00,3.70464373
01/01/2013 0:00,4.13177967
01/02/2013 0:00,3.86950016
01/03/2013 0:00,4.07265472
01/04/2013 0:00,4.31921244
01/05/2013 0:00,4.92250347
01/06/2013 0:00,5.17128325
01/07/2013 0:00,5.34409046
01/08/2013 0:00,5.33620453
01/09/2013 0:00,5.35228395
01/10/2013 0:00,5.35110426
01/11/2013 0:00,4.58609915
01/12/2013 0:00,3.99615335
01/01/2014 0:00,3.7475028
01/02/2014 0:00,3.99807262
01/03/2014 0:00,3.80819941
01/04/2014 0:00,4.50446272
01/05/2014 0:00,4.96330643
01/06/2014 0:00,5.04991865
01/07/2014 0:00,5.27857018
01/08/2014 0:00,5.17469645
01/09/2014 0:00,5.56566191
01/10/2014 0:00,5.23514557
01/11/2014 0:00,4.66107273
01/12/2014 0:00,3.85612035
01/01/2015 0:00,4.42736483
01/02/2015 0:00,3.77326512
01/03/2015 0:00,4.38050985
01/04/2015 0:00,4.08810854
01/05/2015 0:00,4.75766611
01/06/2015 0:00,4.80483246
01/07/2015 0:00,5.177876
01/08/2015 0:00,5.5121913
01/09/2015 0:00,5.53929949
01/10/2015 0:00,5.25460672
01/11/2015 0:00,4.77446508
01/12/2015 0:00,3.82549453
01/01/2016 0:00,3.97721529
01/02/2016 0:00,3.67152047
01/03/2016 0:00,3.62774801
01/04/2016 0:00,4.68235874
01/05/2016 0:00,5.15117168
01/06/2016 0:00,5.36730337
01/07/2016 0:00,5.41366625
01/08/2016 0:00,5.8194313
01/09/2016 0:00,5.40693092
01/10/2016 0:00,5.31527328
01/11/2016 0:00,4.66231298
01/12/2016 0:00,3.95632005
